lote,data_inicio,data_fim,tipo_dia,servico,vista,servico_tipo,servico_tecnologia,extensao_ida_km,extensao_volta_km,tempo_ciclo_min,frota_hp,frota_noturna,intervalo_hp_min,frequencia_hp,viagens_ida_dia,viagens_volta_dia,viagens_mes,producao_km_mes,fonte
B1,2027-05-01,,domingo,765,Mendanha - T. Deodoro,regular,midi,22.596,23.085,149.0,5,0,30.0,2.0,38,38,3000,67453.0,Anexo I.2 p.25
B1,2027-05-01,,domingo,770,C. Grande - Coelho Neto,regular,basico,29.898,29.043,179.0,8,0,20.0,3.0,40,40,4272,122980.0,Anexo I.2 p.25
B1,2027-05-01,,domingo,771,C. Grande - Coelho Neto,regular,basico,29.572,28.802,186.0,8,0,20.0,3.0,41,41,4280,122101.0,Anexo I.2 p.25
B1,2027-05-01,,domingo,790,C. Grande - Cascadura,regular,basico,32.266,35.252,219.0,11,0,15.0,4.0,63,63,5392,179091.0,Anexo I.2 p.25
B1,2027-05-01,,domingo,796,Cosmos - T. Deodoro,regular,basico,35.419,35.794,227.0,9,0,20.0,3.0,51,51,3780,133375.0,Anexo I.2 p.25
B1,2027-05-01,,domingo,798,Urucânia - T. Deodoro,regular,basico,33.338,34.303,212.0,9,0,20.0,3.0,53,53,4084,136581.0,Anexo I.2 p.25
B1,2027-05-01,,domingo,SN731,C. Grande - Mal. Hermes,noturno,midi,32.004,29.625,168.0,0,4,45.0,1.0,6,6,360,11093.0,Anexo I.2 p.25
B1,2027-05-01,,domingo,SN790,C. Grande - Cascadura,noturno,basico,33.578,37.095,171.0,0,6,30.0,2.0,7,7,420,14841.0,Anexo I.2 p.25
B1,2027-05-01,,domingo,SV790,C. Grande - Cascadura,variante,basico,32.645,35.566,253.0,12,0,20.0,3.0,46,46,3992,133284.0,Anexo I.2 p.25
B2,2026-08-01,2027-04-30,util,808,Sagrado Coração - C. Grande,regular,mini,16.294,17.696,177.0,7,0,30.0,2.0,42,42,2512,42651.0,Anexo I.2 p.29
B2,2026-08-01,2027-04-30,util,821,C. Grande - Corcundinha,regular,mini,13.031,0.0,72.0,5,0,15.0,4.0,66,0,1980,25801.0,Anexo I.2 p.29
B2,2026-08-01,2027-04-30,util,822,C. Grande - Corcundinha,regular,mini,13.419,0.0,74.0,4,0,20.0,3.0,53,0,1574,21081.0,Anexo I.2 p.29
B2,2026-08-01,2027-04-30,util,833,Conjunto Manguariba - C. Grande,regular,midi,13.232,13.024,110.0,7,0,20.0,3.0,55,55,3292,43233.0,Anexo I.2 p.29
B2,2026-08-01,2027-04-30,util,841,Vilar Carioca - C. Grande,regular,mini,11.076,12.28,139.0,10,0,15.0,4.0,72,72,4096,47195.0,Anexo I.2 p.29
B2,2026-08-01,2027-04-30,util,869,C. Grande - Santa Margarida,regular,mini,15.78,0.0,83.0,5,0,18.0,3.0,61,0,1818,28631.0,Anexo I.2 p.29
B2,2026-08-01,2027-04-30,util,893,Jardim Palmares - C. Grande,regular,mini,12.246,14.112,112.0,7,0,18.0,3.0,67,67,3932,51567.0,Anexo I.2 p.29
B2,2026-08-01,2027-04-30,util,SN821,C. Grande - Corcundinha,noturno,mini,13.032,0.0,46.0,0,1,60.0,1.0,4,0,120,1564.0,Anexo I.2 p.29
B2,2026-08-01,2027-04-30,util,SN893,Jardim Palmares - C. Grande,noturno,mini,12.246,14.161,94.0,0,2,60.0,1.0,4,4,240,3169.0,Anexo I.2 p.29
B2,2026-08-01,2027-04-30,sabado,808,Sagrado Coração - C. Grande,regular,mini,16.294,17.696,177.0,6,0,30.0,2.0,42,42,2512,42651.0,Anexo I.2 p.30
B2,2026-08-01,2027-04-30,sabado,821,C. Grande - Corcundinha,regular,mini,13.031,0.0,72.0,5,0,15.0,4.0,66,0,1980,25801.0,Anexo I.2 p.30
B2,2026-08-01,2027-04-30,sabado,822,C. Grande - Corcundinha,regular,mini,13.419,0.0,74.0,4,0,20.0,3.0,51,0,1574,21081.0,Anexo I.2 p.30
B2,2026-08-01,2027-04-30,sabado,833,Conjunto Manguariba - C. Grande,regular,midi,13.232,13.024,110.0,6,0,20.0,3.0,53,53,3292,43233.0,Anexo I.2 p.30
B2,2026-08-01,2027-04-30,sabado,841,Vilar Carioca - C. Grande,regular,mini,11.076,12.28,139.0,9,0,15.0,4.0,65,65,4096,47195.0,Anexo I.2 p.30
B2,2026-08-01,2027-04-30,sabado,869,C. Grande - Santa Margarida,regular,mini,15.78,0.0,83.0,5,0,18.0,3.0,61,0,1818,28631.0,Anexo I.2 p.30
B2,2026-08-01,2027-04-30,sabado,893,Jardim Palmares - C. Grande,regular,mini,12.246,14.112,112.0,7,0,18.0,3.0,63,63,3932,51567.0,Anexo I.2 p.30
B2,2026-08-01,2027-04-30,sabado,SN821,C. Grande - Corcundinha,noturno,mini,13.032,0.0,46.0,0,1,60.0,1.0,4,0,120,1564.0,Anexo I.2 p.30
B2,2026-08-01,2027-04-30,sabado,SN893,Jardim Palmares - C. Grande,noturno,mini,12.246,14.161,94.0,0,2,60.0,1.0,4,4,240,3169.0,Anexo I.2 p.30
B2,2026-08-01,2027-04-30,domingo,808,Sagrado Coração - C. Grande,regular,mini,16.294,17.696,177.0,6,0,30.0,2.0,41,41,2512,42651.0,Anexo I.2 p.31
B2,2026-08-01,2027-04-30,domingo,821,C. Grande - Corcundinha,regular,mini,13.031,0.0,72.0,4,0,15.0,4.0,66,0,1980,25801.0,Anexo I.2 p.31
B2,2026-08-01,2027-04-30,domingo,822,C. Grande - Corcundinha,regular,mini,13.419,0.0,74.0,3,0,20.0,3.0,51,0,1574,21081.0,Anexo I.2 p.31
B2,2026-08-01,2027-04-30,domingo,833,Conjunto Manguariba - C. Grande,regular,midi,13.232,13.024,110.0,6,0,20.0,3.0,56,56,3292,43233.0,Anexo I.2 p.31
B2,2026-08-01,2027-04-30,domingo,841,Vilar Carioca - C. Grande,regular,mini,11.076,12.28,139.0,6,0,20.0,3.0,51,51,4096,47195.0,Anexo I.2 p.31
B2,2026-08-01,2027-04-30,domingo,869,C. Grande - Santa Margarida,regular,mini,15.78,0.0,83.0,6,0,18.0,3.0,58,0,1818,28631.0,Anexo I.2 p.31
B2,2026-08-01,2027-04-30,domingo,893,Jardim Palmares - C. Grande,regular,mini,12.246,14.112,112.0,7,0,18.0,3.0,60,60,3932,51567.0,Anexo I.2 p.31
B2,2026-08-01,2027-04-30,domingo,SN821,C. Grande - Corcundinha,noturno,mini,13.032,0.0,46.0,0,1,60.0,1.0,4,0,120,1564.0,Anexo I.2 p.31
B2,2026-08-01,2027-04-30,domingo,SN893,Jardim Palmares - C. Grande,noturno,mini,12.246,14.161,94.0,0,2,60.0,1.0,4,4,240,3169.0,Anexo I.2 p.31
B2,2027-05-01,2028-08-24,util,808,Sagrado Coração - C. Grande,regular,mini,16.294,17.696,185.0,13,0,15.0,4.0,71,71,3972,66311.0,Anexo I.2 p.34
B2,2027-05-01,2028-08-24,util,821,C. Grande - Corcundinha,regular,mini,13.031,0.0,72.0,6,0,13.0,5.0,90,0,2528,32505.0,Anexo I.2 p.34
B2,2027-05-01,2028-08-24,util,822,C. Grande - Corcundinha,regular,mini,13.419,0.0,74.0,5,0,15.0,4.0,68,0,2016,26992.0,Anexo I.2 p.34
B2,2027-05-01,2028-08-24,util,824,Jardim Letícia - São Jorge,regular,mini,26.594,0.0,131.0,9,0,15.0,4.0,65,0,1930,51167.0,Anexo I.2 p.34
B2,2027-05-01,2028-08-24,util,833,Conjunto Manguariba - C. Grande,regular,midi,13.232,13.024,123.0,9,0,15.0,4.0,70,70,4016,52210.0,Anexo I.2 p.34
B2,2027-05-01,2028-08-24,util,841,Vilar Carioca - C. Grande,regular,mini,11.076,12.28,139.0,10,0,15.0,4.0,72,72,4096,47195.0,Anexo I.2 p.34
B2,2027-05-01,2028-08-24,util,860,Cabritos - T. Magarça,regular,basico,21.148,21.897,208.0,14,0,15.0,4.0,80,80,4736,101517.0,Anexo I.2 p.34
B2,2027-05-01,2028-08-24,util,869,C. Grande - Santa Margarida,regular,mini,15.78,0.0,90.0,6,0,15.0,4.0,66,0,1960,30834.0,Anexo I.2 p.34
B2,2027-05-01,2028-08-24,util,882,Santa Margarida - C. Grande,regular,mini,8.649,10.082,109.0,8,0,15.0,4.0,69,69,4108,38384.0,Anexo I.2 p.34
B2,2027-05-01,2028-08-24,util,893,Jardim Palmares - C. Grande,regular,mini,12.246,14.112,111.0,8,0,15.0,4.0,76,76,4408,57611.0,Anexo I.2 p.34
B2,2027-05-01,2028-08-24,util,SN821,C. Grande - Corcundinha,noturno,mini,13.032,0.0,46.0,0,1,50.0,1.0,4,0,120,1564.0,Anexo I.2 p.34
B2,2027-05-01,2028-08-24,util,SN893,Jardim Palmares - C. Grande,noturno,mini,12.246,14.161,109.0,0,3,45.0,1.0,6,6,360,4753.0,Anexo I.2 p.34
B2,2027-05-01,2028-08-24,sabado,808,Sagrado Coração - C. Grande,regular,mini,16.294,17.696,185.0,9,0,18.0,3.0,62,62,3972,66311.0,Anexo I.2 p.35
B2,2027-05-01,2028-08-24,sabado,821,C. Grande - Corcundinha,regular,mini,13.031,0.0,72.0,5,0,15.0,4.0,70,0,2528,32505.0,Anexo I.2 p.35
B2,2027-05-01,2028-08-24,sabado,822,C. Grande - Corcundinha,regular,mini,13.419,0.0,74.0,5,0,15.0,4.0,65,0,2016,26992.0,Anexo I.2 p.35
B2,2027-05-01,2028-08-24,sabado,824,Jardim Letícia - São Jorge,regular,mini,26.594,0.0,131.0,8,0,15.0,4.0,65,0,1930,51167.0,Anexo I.2 p.35
B2,2027-05-01,2028-08-24,sabado,833,Conjunto Manguariba - C. Grande,regular,midi,13.232,13.024,123.0,7,0,18.0,3.0,61,61,4016,52210.0,Anexo I.2 p.35
B2,2027-05-01,2028-08-24,sabado,841,Vilar Carioca - C. Grande,regular,mini,11.076,12.28,139.0,9,0,15.0,4.0,65,65,4096,47195.0,Anexo I.2 p.35
B2,2027-05-01,2028-08-24,sabado,860,Cabritos - T. Magarça,regular,basico,21.148,21.897,208.0,13,0,15.0,4.0,80,80,4736,101517.0,Anexo I.2 p.35
B2,2027-05-01,2028-08-24,sabado,869,C. Grande - Santa Margarida,regular,mini,15.78,0.0,90.0,6,0,15.0,4.0,66,0,1960,30834.0,Anexo I.2 p.35
B2,2027-05-01,2028-08-24,sabado,882,Santa Margarida - C. Grande,regular,mini,8.649,10.082,109.0,8,0,15.0,4.0,69,69,4108,38384.0,Anexo I.2 p.35
B2,2027-05-01,2028-08-24,sabado,893,Jardim Palmares - C. Grande,regular,mini,12.246,14.112,111.0,8,0,15.0,4.0,71,71,4408,57611.0,Anexo I.2 p.35
B2,2027-05-01,2028-08-24,sabado,SN821,C. Grande - Corcundinha,noturno,mini,13.032,0.0,46.0,0,1,50.0,1.0,4,0,120,1564.0,Anexo I.2 p.35
B2,2027-05-01,2028-08-24,sabado,SN893,Jardim Palmares - C. Grande,noturno,mini,12.246,14.161,109.0,0,8,15.0,4.0,6,6,360,4753.0,Anexo I.2 p.35
B2,2027-05-01,2028-08-24,domingo,808,Sagrado Coração - C. Grande,regular,mini,16.294,17.696,185.0,7,0,20.0,3.0,44,44,3972,66311.0,Anexo I.2 p.36
B2,2027-05-01,2028-08-24,domingo,821,C. Grande - Corcundinha,regular,mini,13.031,0.0,72.0,4,0,15.0,4.0,67,0,2528,32505.0,Anexo I.2 p.36
B2,2027-05-01,2028-08-24,domingo,822,C. Grande - Corcundinha,regular,mini,13.419,0.0,74.0,4,0,15.0,4.0,65,0,2016,26992.0,Anexo I.2 p.36
B2,2027-05-01,2028-08-24,domingo,824,Jardim Letícia - São Jorge,regular,mini,26.594,0.0,131.0,6,0,18.0,3.0,60,0,1930,51167.0,Anexo I.2 p.36
B2,2027-05-01,2028-08-24,domingo,833,Conjunto Manguariba - C. Grande,regular,midi,13.232,13.024,123.0,7,0,20.0,3.0,56,56,4016,52210.0,Anexo I.2 p.36
B2,2027-05-01,2028-08-24,domingo,841,Vilar Carioca - C. Grande,regular,mini,11.076,12.28,139.0,6,0,20.0,3.0,51,51,4096,47195.0,Anexo I.2 p.36
B2,2027-05-01,2028-08-24,domingo,860,Cabritos - T. Magarça,regular,basico,21.148,21.897,208.0,11,0,15.0,4.0,72,72,4736,101517.0,Anexo I.2 p.36
B2,2027-05-01,2028-08-24,domingo,869,C. Grande - Santa Margarida,regular,mini,15.78,0.0,90.0,7,0,15.0,4.0,61,0,1960,30834.0,Anexo I.2 p.36
B2,2027-05-01,2028-08-24,domingo,882,Santa Margarida - C. Grande,regular,mini,8.649,10.082,109.0,5,0,18.0,3.0,65,65,4108,38384.0,Anexo I.2 p.36
B2,2027-05-01,2028-08-24,domingo,893,Jardim Palmares - C. Grande,regular,mini,12.246,14.112,111.0,9,0,15.0,4.0,62,62,4408,57611.0,Anexo I.2 p.36
B2,2027-05-01,2028-08-24,domingo,SN821,C. Grande - Corcundinha,noturno,mini,13.032,0.0,46.0,0,1,50.0,1.0,4,0,120,1564.0,Anexo I.2 p.36
B2,2027-05-01,2028-08-24,domingo,SN893,Jardim Palmares - C. Grande,noturno,mini,12.246,14.161,109.0,0,8,15.0,4.0,6,6,360,4753.0,Anexo I.2 p.36
B2,2028-08-25,,util,808,Sagrado Coração - C. Grande,regular,mini,16.294,17.696,185.0,13,0,15.0,4.0,71,71,3972,66311.0,Anexo I.2 p.39
B2,2028-08-25,,util,821,C. Grande - Corcundinha,regular,mini,13.031,0.0,72.0,6,0,13.0,5.0,90,0,2528,32505.0,Anexo I.2 p.39
B2,2028-08-25,,util,822,C. Grande - Corcundinha,regular,mini,13.419,0.0,74.0,5,0,15.0,4.0,68,0,2016,26992.0,Anexo I.2 p.39
B2,2028-08-25,,util,824,Jardim Letícia - São Jorge,regular,mini,26.594,0.0,131.0,9,0,15.0,4.0,65,0,1930,51167.0,Anexo I.2 p.39
B2,2028-08-25,,util,826,Carobinha - Vilar Carioca,regular,mini,18.581,16.9,149.0,10,0,15.0,4.0,68,68,3768,65697.0,Anexo I.2 p.39
B2,2028-08-25,,util,830,Pedregoso - C. Grande,regular,mini,11.299,10.745,120.0,8,0,15.0,4.0,66,66,3880,42560.0,Anexo I.2 p.39
B2,2028-08-25,,util,833,Conjunto Manguariba - C. Grande,regular,midi,13.232,13.024,123.0,9,0,15.0,4.0,70,70,4016,52210.0,Anexo I.2 p.39
B2,2028-08-25,,util,841,Vilar Carioca - C. Grande,regular,mini,11.076,12.28,139.0,10,0,15.0,4.0,72,72,4096,47195.0,Anexo I.2 p.39
B2,2028-08-25,,util,850,Mendanha - C. Grande,regular,mini,11.489,10.912,122.0,9,0,15.0,4.0,64,64,3664,40568.0,Anexo I.2 p.39
B2,2028-08-25,,util,860,Cabritos - T. Magarça,regular,basico,21.148,21.897,208.0,14,0,15.0,4.0,80,80,4736,101517.0,Anexo I.2 p.39
B2,2028-08-25,,util,869,C. Grande - Santa Margarida,regular,mini,15.78,0.0,90.0,6,0,15.0,4.0,66,0,1960,30834.0,Anexo I.2 p.40
B2,2028-08-25,,util,882,Santa Margarida - C. Grande,regular,mini,8.649,10.082,109.0,8,0,15.0,4.0,69,69,4108,38384.0,Anexo I.2 p.40
B2,2028-08-25,,util,893,Jardim Palmares - C. Grande,regular,mini,12.246,14.112,111.0,8,0,15.0,4.0,76,76,4408,57611.0,Anexo I.2 p.40
B2,2028-08-25,,util,895,Serrinha - C. Grande,regular,mini,13.376,12.811,130.0,9,0,15.0,4.0,57,57,3100,39804.0,Anexo I.2 p.40
B2,2028-08-25,,util,SN821,C. Grande - Corcundinha,noturno,mini,13.032,0.0,46.0,0,1,50.0,1.0,4,0,120,1564.0,Anexo I.2 p.40
B2,2028-08-25,,util,SN893,Jardim Palmares - C. Grande,noturno,mini,12.246,14.161,109.0,0,3,45.0,1.0,6,6,360,4753.0,Anexo I.2 p.40
B2,2028-08-25,,util,SN895,C. Grande - Serrinha,noturno,mini,23.471,0.0,90.0,0,2,45.0,1.0,6,0,180,4225.0,Anexo I.2 p.40
B2,2028-08-25,,util,SD850,C. Grande - João Melo,derivado,mini,13.572,0.0,81.0,6,0,15.0,4.0,66,0,1832,24457.0,Anexo I.2 p.40
B2,2028-08-25,,util,SV850,Mendanha - C. Grande,variante,mini,12.732,12.241,155.0,11,0,15.0,4.0,67,67,3588,43790.0,Anexo I.2 p.40
B2,2028-08-25,,sabado,808,Sagrado Coração - C. Grande,regular,mini,16.294,17.696,185.0,9,0,18.0,3.0,62,62,3972,66311.0,Anexo I.2 p.41
B2,2028-08-25,,sabado,821,C. Grande - Corcundinha,regular,mini,13.031,0.0,72.0,5,0,15.0,4.0,70,0,2528,32505.0,Anexo I.2 p.41
B2,2028-08-25,,sabado,822,C. Grande - Corcundinha,regular,mini,13.419,0.0,74.0,5,0,15.0,4.0,65,0,2016,26992.0,Anexo I.2 p.41
B2,2028-08-25,,sabado,824,Jardim Letícia - São Jorge,regular,mini,26.594,0.0,131.0,8,0,15.0,4.0,65,0,1930,51167.0,Anexo I.2 p.41
B2,2028-08-25,,sabado,826,Carobinha - Vilar Carioca,regular,mini,18.581,16.9,149.0,9,0,20.0,3.0,52,52,3768,65697.0,Anexo I.2 p.41
B2,2028-08-25,,sabado,830,Pedregoso - C. Grande,regular,mini,11.299,10.745,120.0,8,0,15.0,4.0,63,63,3880,42560.0,Anexo I.2 p.41
B2,2028-08-25,,sabado,833,Conjunto Manguariba - C. Grande,regular,midi,13.232,13.024,123.0,7,0,18.0,3.0,61,61,4016,52210.0,Anexo I.2 p.41
B2,2028-08-25,,sabado,841,Vilar Carioca - C. Grande,regular,mini,11.076,12.28,139.0,9,0,15.0,4.0,65,65,4096,47195.0,Anexo I.2 p.41
B2,2028-08-25,,sabado,850,Mendanha - C. Grande,regular,mini,11.489,10.912,122.0,6,0,20.0,3.0,58,58,3664,40568.0,Anexo I.2 p.41
B2,2028-08-25,,sabado,860,Cabritos - T. Magarça,regular,basico,21.148,21.897,208.0,13,0,15.0,4.0,80,80,4736,101517.0,Anexo I.2 p.42
B2,2028-08-25,,sabado,869,C. Grande - Santa Margarida,regular,mini,15.78,0.0,90.0,6,0,15.0,4.0,66,0,1960,30834.0,Anexo I.2 p.42
B2,2028-08-25,,sabado,882,Santa Margarida - C. Grande,regular,mini,8.649,10.082,109.0,8,0,15.0,4.0,69,69,4108,38384.0,Anexo I.2 p.42
B2,2028-08-25,,sabado,893,Jardim Palmares - C. Grande,regular,mini,12.246,14.112,111.0,8,0,15.0,4.0,71,71,4408,57611.0,Anexo I.2 p.42
